freq_thz,eps_real,eps_imag
59.91164069697496,11.714520440499715,6.518761611555815e-08
60.049646964091494,11.714701271200049,5.043679419282889e-08
60.188169655405034,11.714882455423545,4.138705486905475e-08
60.32684732979573,11.715064879322558,3.564373998286476e-08
60.46592161418626,11.715249001232847,3.1666293569953546e-08
60.605271052674134,11.715432359119175,2.856156477886415e-08
60.74501809428479,11.715616755277454,2.5860194846416688e-08
60.88504014086366,11.715804788759677,2.3338380777889445e-08
61.025460755855384,11.715992107482487,2.0900577571689615e-08
61.166156187771364,11.716180462168756,1.8513320830110054e-08
61.30712575229908,11.716368317116942,1.6172975168053604e-08
61.44849469947282,11.716557150753646,1.3892360095609713e-08
61.59013752326638,11.71674890379157,1.1695997695222936e-08
61.73205349696789,11.716940028908596,9.617847229693468e-09
61.87436957966474,11.717131193853904,7.698205979500317e-09
62.016958486069626,11.717325732549723,5.97845411846619e-09
62.15994833005731,11.717519636440272,4.493981484559217e-09
62.30321062880443,11.71771312404139,3.2669539561008055e-09
62.44687466151192,11.717909559265333,2.301181290628219e-09
62.59081073632697,11.718106289227762,1.5809136344737506e-09
62.73514930838931,11.718302456081963,1.0740500633348858e-09
62.87975946523593,11.718502391705298,7.386318288514315e-10
63.02464035318232,11.718702043123661,5.304235103388909e-10
63.1700573138354,11.718901978458645,4.0933433189936155e-10
63.31561197831418,11.719103385814046,3.432815480208236e-10
63.461570279424215,11.719306636660951,3.0928374786162877e-10
63.607933156946665,11.719509572128741,2.9249051136641163e-10
63.75443038513068,11.719711052420244,2.8420373223617777e-10
63.90146776710121,11.719916332472078,2.797915414310357e-10
64.04877443282935,11.720123558576788,2.770069522691705e-10
64.19648687771954,11.72033113488856,2.748556276097102e-10
64.3444679106624,11.72053868434936,2.729358276639287e-10
64.49271652823403,11.720746617579923,2.7109925856665604e-10
64.6413710870287,11.720956894731579,2.6929587146299273e-10
64.79043247296909,11.721168254811428,2.67510195268654e-10
64.93976089956179,11.721378592440885,2.6573782200759817e-10
65.0894966184309,11.72159173273392,2.6397756425769206e-10
65.23949852674278,11.72180542638788,2.622290883141483e-10
65.38990815082373,11.722020298456474,2.60492266759923e-10
65.5407263441871,11.722235034516324,2.587670179022921e-10
65.69181001047413,11.722452317595367,2.5705326953248444e-10
65.84315800339547,11.722669864543336,2.553509515679261e-10
65.99491443339366,11.722888117594602,2.536599946254874e-10
66.14708012205966,11.72310878509072,2.5198032984944885e-10
66.29965588772563,11.723329213550215,2.503118887966473e-10
66.4524952453573,11.723550027634818,2.4865460351349466e-10
66.6055969660143,11.723772707002473,2.470084064515824e-10
66.75910846067171,11.723997199592487,2.453732305365609e-10
66.91303051337735,11.724221272144609,2.4374900912048077e-10
67.06736390441208,11.724447663993518,2.421356759886985e-10
67.22195867920551,11.72467354988714,2.405331653922795e-10
67.37681352244864,11.724901542448041,2.3894141198616537e-10
67.53223134538491,11.725130031268883,2.3736035088063737e-10
67.68790934378556,11.725360274289697,2.3578991762538095e-10
67.84384615036458,11.725592871150932,2.34230048184879e-10
68.00034885646303,11.725824872299553,2.3268067896594167e-10
68.15711041138557,11.726058936849476,2.3114174679678754e-10
68.3141293945001,11.72629167419061,2.296131889364682e-10
68.47171713480452,11.72652646245533,2.2809494308521736e-10
68.62956227522567,11.726764496901916,2.265869473439254e-10
68.78766334039278,11.727002107006793,2.2508914025172297e-10
68.94633595510786,11.727239502131274,2.2360146077268195e-10
69.10526439537136,11.72747979757333,2.2212384827687e-10
69.2644471296581,11.727720349443786,2.20656242577601e-10
69.42420413730498,11.727963164367155,2.1919858387669628e-10
69.58421526620462,11.728206231529416,2.1775081281993032e-10
69.74464118294355,11.728450995195432,2.1631287046327045e-10
69.90548251852611,11.728695179761333,2.148846982604733e-10
70.06657614030496,11.728942375036189,2.134662380958031e-10
70.22808491299745,11.729190837485634,2.1205743227514295e-10
70.3900094387911,11.729440361797213,2.106582234698953e-10
70.55218427809275,11.729688563957273,2.0926855481582432e-10
70.71494132493602,11.72994116412283,2.0788836984681072e-10
70.8779483178476,11.73019130495813,2.065176124606515e-10
71.04120351281286,11.7304465324228,2.0515622701525297e-10
71.20504338201587,11.730699997961374,2.0380415825443333e-10
71.36913100302577,11.730957449432395,2.0246135129458032e-10
71.53380594237066,11.731212980131723,2.011277517271167e-10
71.69855666552667,11.731473147258125,1.9980330547948583e-10
71.86389575397862,11.731730410882793,1.9848795890562942e-10
72.02965303322625,11.731993307465402,1.9718165875380935e-10
72.19565514750151,11.732253899479295,1.9588435221067854e-10
72.36207485004647,11.732518371594344,1.9459598682062327e-10
72.52891261957411,11.732782428253792,1.933165104976251e-10
72.69599264777202,11.733047821854383,1.9204587162731134e-10
72.8636671422287,11.733314667192035,1.9078401894765238e-10
73.03158317843982,11.733582454748941,1.895309016063226e-10
73.19991747099887,11.733851805458125,1.8828646913586235e-10
73.36867044695322,11.734121225371167,1.8705067146244628e-10
73.53784252497725,11.734394561040412,1.8582345892194581e-10
73.70743411525498,11.73466646011768,1.8460478219734368e-10
73.87726356463068,11.734942113272732,1.8339459245115823e-10
74.04751163968237,11.735215368887145,1.8219284116282352e-10
74.21817871236391,11.73549224831611,1.8099948020949112e-10
74.38944973250887,11.735772827054287,1.7981446190442711e-10
74.56077129313218,11.736051811699609,1.7863773890613404e-10
74.73269749945783,11.736332375338547,1.774692642773617e-10
74.90504409964271,11.736614209219294,1.7630899148187035e-10
75.07762340036562,11.736898655250126,1.751568743517839e-10
75.25081088679212,11.73718306210889,1.7401286713452904e-10
